,City,Latitude,Longitude,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,kiama,-34.68,150.87,55.99,92,99,16.22,AU,1603731932
257,pangai,-19.8,-174.35,76.15,79,66,16.87,TO,1603731932
258,pemangkat,1.17,108.97,76.53,86,100,4.36,ID,1603731932
259,adre,13.47,22.2,81.01,24,34,2.77,TD,1603731933
260,rio gallegos,-51.62,-69.22,62.6,29,40,26.4,AR,1603731768
261,riyadh,24.69,46.72,75.2,27,0,3.36,SA,1603731769
262,puebloviejo,10.99,-74.28,87.8,70,40,3.36,CO,1603731934
263,jaciara,-15.97,-54.97,97.48,34,28,8.32,BR,1603731934
264,balikpapan,-1.27,116.83,76.1,90,93,4.56,ID,1603731935
265,erenhot,43.65,111.98,32.77,73,0,8.81,CN,1603731935
267,bandarbeyla,9.49,50.81,77.29,75,85,13.87,SO,1603731935
268,dutse,11.76,9.34,82.69,22,7,5.3,NG,1603731935
269,tomohon,1.33,124.84,75.2,94,20,1.12,ID,1603731936
270,roald,62.58,6.13,48.99,81,0,6.93,NO,1603731936
271,shirokiy,49.76,129.52,35.38,85,100,6.91,RU,1603731936
272,lovozero,68,35.01,35.76,96,100,9.42,RU,1603731936
273,lamu,-2.27,40.9,80.6,78,1,5.82,KE,1603731936
274,porto novo,6.5,2.6,84.2,79,40,9.17,BJ,1603731671
275,saint anthony,45.02,-93.22,28.99,53,20,9.17,US,1603731937
276,newport,51.59,-3,53.01,80,11,1.01,GB,1603731669
277,cancun,21.17,-86.85,86,70,75,19.46,MX,1603731788
278,samarai,-10.62,150.67,81.07,83,97,8.25,PG,1603731646
279,chardara,41.25,67.97,58.37,43,11,6.22,KZ,1603731939
280,kruisfontein,-34,24.73,63,92,98,5.99,ZA,1603731939
281,sur,22.57,59.53,74.68,64,0,5.08,OM,1603731939
282,vanino,49.09,140.25,34.72,86,68,5.1,RU,1603731939
283,cravo norte,6.3,-70.2,89.35,61,21,8.72,CO,1603731939
284,thayetmyo,19.32,95.18,76.39,91,60,2.13,MM,1603731941
285,rio grande,-32.03,-52.1,72,92,100,7.02,BR,1603731941
286,barra,-11.09,-43.14,88.95,45,56,7.65,BR,1603731941
287,jacareacanga,-6.22,-57.75,98.1,36,18,3.36,BR,1603731942
288,sarab,38.61,44.99,61.3,35,42,0.76,IR,1603731942
289,vanavara,60.34,102.28,23.05,93,100,2.62,RU,1603731942
290,danjiangkou,32.54,111.51,60.01,50,94,3.29,CN,1603731910
291,bambous virieux,-20.34,57.76,75.2,73,40,11.41,MU,1603731943
292,whyalla,-33.03,137.58,57.2,82,90,6.93,AU,1603731943
293,ponta do sol,32.67,-17.1,68,72,75,9.17,PT,1603731944
294,bilma,18.69,12.92,78.12,18,0,4.47,NE,1603731944
295,luganville,-15.53,167.17,77.11,85,67,9.89,VU,1603731945
296,isangel,-19.55,169.27,72.48,79,4,9.08,VU,1603731817
